element_id	page_no	position_in_page	self_ref	text50	label
9b8f3f88b8	1	0	#/texts/0	Chapter 2. Developing on Databricks	title
5e8b738976	1	1	#/texts/1	Databricks has grown significantly in popularity o	text
928185da96	1	2	#/texts/2	Notebooks are first-class citizens in Databricks a	text
c35b447183	1	3	#/texts/3	This refactoring typically involves the following:	text
b3abcad317	1	4	#/texts/4	Creating functions, classes, and modules	list_item
e1319e1035	1	5	#/texts/5	Separating tasks into logical components	list_item
cb595e0f44	1	6	#/texts/6	Isolating configurations that may evolve over time	list_item
f80c94a2ee	1	7	#/texts/7	Adding unit tests	list_item
baa9026284	1	8	#/texts/8	Implementing logging and documentation	list_item
0a87eb6966	1	9	#/texts/9	Packaging the project's code	list_item
8eab6a3dea	1	10	#/texts/10	Throughout my career, I have often seen data scien	text
a144df4075	1	11	#/texts/11	I believe data scientists should be empowered to w	text
3458ebab75	1	12	#/texts/12	Developing on Databricks relies heavily on cluster	text
79af643010	1	13	#/texts/13	Cluster Configurations on Databricks	title
dd9d877b16	1	14	#/texts/14	I'll start by showing you how to set up an all-pur	text
6fa6bfb4e0	1	15	#/texts/15	Databricks Free Edition	text
bf6cd1e288	1	16	#/texts/16	. All code examples are compatible with both clust	text
7b5933ca0d	1	17	#/texts/17	Chapter 1	text
561a2de3c0	1	18	#/texts/18	, I explained when and why you might choose server	text
6049db242c	1	19	#/texts/19	All-Purpose and Jobs Compute Configuration	section_header
5506ed53f2	1	20	#/texts/20	Before we start developing on Databricks, we need 	text
2e761f364e	1	21	#/texts/21	Figure 2-1	text
7c81b03a3c	1	22	#/texts/22	shows the recommended configurations of the cluste	text
59b91ad4b7	1	23	#/texts/23	Policy	list_item
c30d1c3d3d	1	24	#/texts/24	Set this to Personal Compute.	list_item
57b32646e2	1	25	#/texts/25	Databricks runtime	list_item
9707f5f266	1	26	#/texts/26	Set this to 17.3 LTS.	list_item
7cde8bf792	1	27	#/texts/27	Preferred node type	list_item
6d2037a06d	1	28	#/texts/28	Select 16 GB Memory, which is one of the smallest 	list_item
f40b26dc78	1	29	#/texts/29	Terminate after _____ minutes of activity	list_item
98bb1414a3	1	30	#/texts/30	Set this to 30 minutes to reduce costs.	list_item
4e8325504d	1	31	#/texts/31	Tags	list_item
93aaa30c97	1	32	#/texts/32	Set whatever tags you'll need to make sure develop	list_item
abd2e5e007	1	33	#/pictures/0	Screenshot of a configuration page for creating a 	picture
b5342ee1ae	1	34	#/texts/34	Let's go through all the different components of t	text
31f469bba0	1	35	#/texts/35	Policies and access modes	section_header
fe7eb9a098	1	36	#/texts/36	When creating a cluster, you can choose from the f	text
fce5f4b855	1	37	#/texts/37	Personal Compute	list_item
0e4d23f05d	1	38	#/texts/38	This is ideal for creating single-node compute res	list_item
58c751cecc	1	39	#/texts/39	Shared Compute	list_item
21162633a1	1	40	#/texts/40	This is suitable for creating larger, multinode re	list_item
32a550fe7f	1	41	#/texts/41	Power User Compute	list_item
85efbd5925	1	42	#/texts/42	This is an upgraded version of Personal Compute th	list_item
f60310f3d1	1	43	#/texts/43	Unrestricted	list_item
