element_id	page_no	position_in_page	self_ref	text50	label
353dfa9fb0	1	0	#/texts/0	Chapter 1. Introduction to MLflow for GenAI on Dat	title
7ea03c8e25	1	1	#/texts/1	Artificial intelligence (AI) and machine learning 	text
c89116050d	1	2	#/texts/2	MLflow was built to close those gaps. Since its fi	text
15974daf77	1	3	#/texts/3	As enterprises build more generative AI (GenAI) ap	text
04ab0a317d	1	4	#/texts/4	This chapter introduces the fundamentals of using 	text
3c6ce48450	1	5	#/texts/5	What Is MLflow?	title
d53c88744f	1	6	#/texts/6	MLflow is a popular, open source platform built to	text
a4a4738deb	1	7	#/texts/7	Figure 1-1	text
1780808c92	1	8	#/texts/8	.	text
3f8f81196f	1	9	#/pictures/0	MLflow logo, representing the platform's role in m	picture
a214f58414	1	10	#/texts/10	MLflow has become a go-to tool for AI/ML developer	text
ff12841c38	1	11	#/texts/11	Experiment and Model Tracking for Reproducibility	section_header
d05839a32f	1	12	#/texts/12	MLflow's tracking capabilities matter most for pra	text
525a4902a8	1	13	#/texts/13	Figure 1-2	text
23543c58ab	1	14	#/texts/14	). This makes it easy to identify which combinatio	text
defcee805a	1	15	#/texts/15	Tracking model changes and their downstream impact	text
9112c67fa0	1	16	#/texts/16	MLflow also supports reproducibility by logging cr	text
3c16b85b6a	1	17	#/texts/17	When you train a model with MLflow, it records env	text
36b1b63b81	1	18	#/texts/18	Figure 1-2	text
361b7ea27a	1	19	#/texts/19	shows, after multiple model versions have been log	text
9e5bd2678c	1	20	#/pictures/1	Diagram showing MLflow's process of logging model 	picture
ea6c2db2a2	1	21	#/texts/21	For instance, if a run was initiated from a notebo	text
3dc484f55c	1	22	#/texts/22	MLflow on Databricks also integrates with Delta La	text
c617e20b88	1	23	#/texts/23	MLflow Evaluation	section_header
c5e662be3f	1	24	#/texts/24	MLflow also provides an evaluation framework for A	text
6e32818048	1	25	#/texts/25	One-liner evaluation function	section_header
5f32a8d03c	1	26	#/texts/26	MLflow enables comprehensive model assessment thro	text
0e2cc54841	1	27	#/texts/27	mlflow.evaluate()	code
4a8fb0d0cb	1	28	#/texts/28	function. This single command runs pretemplated ev	text
4259a590b9	1	29	#/texts/29	Beyond measuring only the performance of a model's	text
dd3bb63c21	1	30	#/texts/30	Figure 1-3	text
d09689d237	1	31	#/texts/31	illustrates how the	text
30d3d6774e	1	32	#/texts/32	mlflow.evaluate()	code
e65517cd2d	1	33	#/texts/33	function passes the model's predictions to a defau	text
6717d52516	1	34	#/pictures/2	Diagram illustrating the process of the `mlflow.ev	picture
75a434ad31	1	35	#/texts/35	Built-in model and artifacts support	section_header
15efdbe016	1	36	#/texts/36	The default evaluator in	text
bbdcf3ffad	1	37	#/texts/37	mlflow.evaluate()	code
1fafbeb8f3	1	38	#/texts/38	supports various model types, including classifier	text
c290a665f2	1	39	#/texts/39	The evaluators can be extended to support a wide r	text
025ab80631	1	40	#/texts/40	Dataset evaluation	list_item
15feb4b132	1	41	#/texts/41	Static datasets and precomputed predictions can be	list_item
d09b14afbe	1	42	#/texts/42	Python and custom function	list_item
6231cf9806	1	43	#/texts/43	Functions can be evaluated directly, without the n	list_item
848bae35d0	1	44	#/texts/44	Custom evaluation metrics	list_item
3d47e18da5	1	45	#/texts/45	Business requirements can be met by defining custo	list_item
f77d4b8a1b	1	46	#/texts/46	SHAP integration	list_item
a3f9db214a	1	47	#/texts/47	SHAP (SHapley Additive exPlanations) values provid	list_item
8dbf382cdc	1	48	#/texts/48	Specialized plug-ins	list_item
2e9d5e19d2	1	49	#/texts/49	Evaluation capabilities can be extended with speci	list_item
37bff1cb9d	1	50	#/texts/50	These capabilities can be used for more specific o	text
7b0c7d457d	1	51	#/texts/51	Evaluation analysis	section_header
7c7554c326	1	52	#/texts/52	MLflow provides strong capabilities for visualizin	text
753ef27d57	1	53	#/texts/53	Figure 1-4	text
35720d539f	1	54	#/texts/54	) for exploring and analyzing performance across e	text
6174d1dd0a	1	55	#/pictures/3	Screenshot of MLflow's evaluation interface displa	picture
9e022501c8	1	56	#/texts/56	Its evaluation framework stores results in a struc	text
cc994dbb5e	1	57	#/texts/57	Collaboration	section_header
f87bfe21c9	1	58	#/texts/58	ML model development often starts locally, which g	text
5b1d3b8544	1	59	#/texts/59	MLflow addresses that collaboration gap by creatin	text
c34ac2f1f5	1	60	#/texts/60	Figure 1-5	text
b1cab85360	1	61	#/texts/61	illustrates multiple options.	text
21fc78da87	1	62	#/pictures/4	Diagram showing MLflow's integration with various 	picture
42a2b7ff25	1	63	#/texts/63	Model Registry and Versioning	section_header
979362cfa9	1	64	#/texts/64	As ML projects scale, teams often struggle to mana	text
a1392180f6	1	65	#/texts/65	Using the MLflow Model Registry offers the followi	text
269a644a36	1	66	#/texts/66	Version control	list_item
4a1aa990ad	1	67	#/texts/67	The registry automatically tracks versions of each	list_item
bf97691793	1	68	#/texts/68	Model lineage and traceability	list_item
2b9c02be7a	1	69	#/texts/69	Each registered model version is linked to the MLf	list_item
35904b53b1	1	70	#/texts/70	Production-ready workflows	list_item
5842a978ba	1	71	#/texts/71	Features like model aliases (e.g., @champion) and 	list_item
7947aac0eb	1	72	#/texts/72	Governance and compliance	list_item
ae82e11b77	1	73	#/texts/73	With structured metadata, tagging, and role-based 	list_item
625562c82b	1	74	#/texts/74	What we have now is a dedicated model registry for	text
