element_id	page_no	position_in_page	self_ref	text50	label
61bc332e35	1	0	#/texts/0	Chapter 4. Building and Versioning a Tool-Calling 	title
6a0db29f36	1	1	#/texts/1	In traditional machine learning (ML), rigorous log	text
1ac335840b	1	2	#/texts/2	As we saw in	text
9d1bcc46fa	1	3	#/texts/3	Chapter 2	text
e91b5b2c8d	1	4	#/texts/4	, MLflow provides the capabilities for managing th	text
ea3bdecba2	1	5	#/texts/5	What Is a Tool-Calling Agent?	title
c0c6b8651e	1	6	#/texts/6	One of the simplest design patterns for developing	text
a5db6f9537	1	7	#/texts/7	This design pattern is well suited for application	text
37b42b3b82	1	8	#/texts/8	A common example of a deterministic chain is retri	text
562c5d9280	1	9	#/texts/9	To address these limitations, tool-calling agents 	text
396dceca62	1	10	#/texts/10	Compared to RAG, which always performs retrieval a	text
68a81a0de0	1	11	#/texts/11	In this chapter, we will build a simple tool-calli	text
26d8582a14	1	12	#/texts/12	Chapter 7	text
0b8ac1e9ae	1	13	#/texts/13	, we will cover the broader agentic design pattern	text
61126ac224	1	14	#/texts/14	Unstructured Data Preparation for Retrieval	section_header
6e431fec81	1	15	#/texts/15	Before we can build a tool-calling agent for retri	text
91f4f75d5d	1	16	#/texts/16	Figure 4-1	text
13a0bcced8	1	17	#/texts/17	illustrates:	text
e697a37ad7	1	18	#/texts/18	Parsing of documents	list_item
6f268fc5e0	1	19	#/texts/19	Text chunking	list_item
f2c9fee7f2	1	20	#/texts/20	Embedding and indexing chunks	list_item
21ba1e928f	1	21	#/pictures/0	Diagram comparing RAG chain and tool-calling agent	picture
3cb330adbe	1	22	#/texts/22	Parsing of documents	section_header
2c93066bd0	1	23	#/texts/23	During the parsing stage, documents are parsed to 	text
0497e97e98	1	24	#/texts/24	ai_parse_document	code
4a6aecb7ea	1	25	#/texts/25	on Databricks) are common ways to parse these docu	text
d990557a7d	1	26	#/texts/26	Text chunking	section_header
727bdecedc	1	27	#/texts/27	The next step is to break down the extracted text 	text
4af88996d1	1	28	#/texts/28	There are several techniques for performing text c	text
06f27dd437	1	29	#/texts/29	Embedding and indexing the chunks	section_header
e8bca3834e	1	30	#/texts/30	Each text chunk is first converted into vector emb	text
c3d9885725	1	31	#/texts/31	Figure 4-2	text
de9a27cf96	1	32	#/texts/32	illustrates this concept.	text
783cd9f346	1	33	#/pictures/1	Diagram showing an embedding model converting vari	picture
10ef555a63	1	34	#/texts/34	This allows for searching based on semantic simila	text
